Name,Pronouns,EN_Title,EN_Description,ES_Title,ES_Description,Language,GitHub,Social
Luis Montilla,He/him,Crossref's efforts toward open scholarly metadata (EN),"In an increasingly interconnected world, our capacity to produce data is endlessly growing and this is especially true in the scholarly context. Additionally, an aggregated value arises from interconnecting the variety of scholarly output through its metadata. At Crossref, we provide the infrastructure to materialize this network of elements under the concept of the Research Nexus, a continuous effort from the community and by the community to make research discoverable and interconnected. Here we’ll highlight the recent developments in our data schema and web API and give a sneak peek into coming features that are in progress, all as part of multiple open communication channels with the community. These efforts are being translated into increased discoverability of research coming from all over the world, improved signals of trust and detection of fraudulent activities, and better tracking of the research funding ecosystem.",Los esfuerzos de Crossref hacia los metadatos académicos abiertos (EN),"En un mundo cada vez más interconectado, nuestra capacidad para producir datos crece sin cesar y esto es especialmente cierto en el contexto académico. Además, surge un valor agregado al interconectar la variedad de la producción académica a través de sus metadatos. En Crossref proporcionamos la infraestructura para materializar esta red de elementos bajo el concepto de Research Nexus, un esfuerzo continuo de la comunidad y por parte de la comunidad para hacer que la investigación sea reconocible e interconectada. Aquí destacaremos los desarrollos recientes en nuestro esquema de datos y API web y daremos un adelanto de las próximas funciones que están en progreso, todo como parte de múltiples canales de comunicación abiertos con la comunidad. Estos esfuerzos se están traduciendo en una mayor capacidad de descubrimiento de investigaciones provenientes de todo el mundo, mejores señales de confianza y detección de actividades fraudulentas y un mejor seguimiento del ecosistema de financiación de la investigación.",English,https://github.com/luismmontilla/,luismmontilla
Malvika Sharan on behalf of The Turing Way community,she/her,Fostering Community Collaboration: The Turing Way's Evolution from Handbook to Digital Public Good in Data Science,"In 2019, The Turing Way was launched as a guide to reproducibility, providing tools, methods, and practices to address the reproducibility crisis in science. What began as an open-source project providing a handbook for data science, has blossomed into a dynamic, global collaborative community, enriching the perspective of the international research and data science community. Rooted in the ethos of openness, inclusivity, and collaboration, this initiative is propelled by the collective interests, needs, and hopes of researchers for an open, inclusive, collaborative, and ethical approach to data science.
With 450+ co-authors shaping its narrative, The Turing Way has unfolded into a multi-guide book featuring 300+ chapters. It offers a comprehensive array of best practices, covering reproducibility, project design, collaboration, communication, ethical research, and community engagement. A testament to its digital infrastructure and engaged community, The Turing Way aligns with the principles of a Digital Public Good (DPG), energizing the global movement to democratize data science—making it transparent, accessible, and beneficial for all. Throughout its endeavors, The Turing Way has remained steadfast in its commitment to embed EDIA (equity, diversity, inclusion, and accessibility) principles.
This talk will shed light on The Turing Way's evolution—a transition from a handbook to a community-supported digital public good. Join the conversation and explore our vibrant ecosystem on GitHub: The Turing Way GitHub.",Fomentando la Colaboración Comunitaria: La Evolución de The Turing Way de Manual a Bien Público Digital en Ciencia de Datos,"En 2019, The Turing Way fue lanzado como una guía de reproducibilidad, proporcionando herramientas, métodos y prácticas para abordar la crisis de reproducibilidad en la ciencia. Lo que comenzó como un proyecto de código abierto que ofrecía un manual para la ciencia de datos, ha florecido en una comunidad colaborativa global dinámica, enriqueciendo la perspectiva de la comunidad internacional de investigación y ciencia de datos. Arraigada en el ethos de la apertura, la inclusividad y la colaboración, esta iniciativa es impulsada por los intereses colectivos, las necesidades y las esperanzas de los investigadores por un enfoque abierto, inclusivo, colaborativo y ético hacia la ciencia de datos.

Con más de 450 coautores dando forma a su narrativa, The Turing Way se ha convertido en un libro de múltiples guías que presenta más de 300 capítulos. Ofrece una amplia gama de mejores prácticas, que abarcan la reproducibilidad, el diseño de proyectos, la colaboración, la comunicación, la investigación ética y la participación comunitaria. Como testimonio de su infraestructura digital y comunidad comprometida, The Turing Way se alinea con los principios de un Bien Público Digital (BPD), energizando el movimiento global para democratizar la ciencia de datos, haciéndola transparente, accesible y beneficiosa para todos. A lo largo de sus esfuerzos, The Turing Way ha mantenido firme su compromiso de incorporar los principios de EDIA (equidad, diversidad, inclusión y accesibilidad).

Esta charla arrojará luz sobre la evolución de The Turing Way: una transición de un manual a un bien público digital apoyado por la comunidad. Únete a la conversación y explora nuestro vibrante ecosistema en GitHub: The Turing Way GitHub.",Combinación/Combination,https://github.com/the-turing-way/the-turing-way,https://twitter.com/turingway
María de los Ángeles Lasa,,Development and implementation of the Social Movements Index (ES),"In 2023, the Gender Justice Data Lab from the Global Fund for Women developed a Social Movement Index to detect, prioritize and fund social movements around the world. In the presentation, I will share the development process, its implementation, and what practices changed within the organization.",Desarrollo e implementación del Índice de Movimientos Sociales (ES),"En 2023, el Laboratorio de Datos sobre Justicia de Género de Global Fund for Women desarrolló un Índice de Movimientos Sociales para detectar, priorizar y financiar movimientos sociales alrededor del mundo. En la presentación, compartiré el proceso de desarrollo, su implementación y qué prácticas cambió dentro de la organización.",Combinación/Combination,https://github.com/marialasa,https://twitter.com/Condolasa
Mark Hahnel,,AI and Academic Data - Niche communities or a global opportunity? (EN),"The availability of shared data and non traditional research outputs has increased dramatically over the last 10 years and is growing at an exponential rate. Generalist repository platforms have matured into well known locations to share data. But what does the use of these open platforms actually look like? Is the shared data being reused and by who? Are outputs shared in a way that is actually useful? The answers to these questions help identify whether new academic knowledge produced by AI can be contributed to globally, or in niche communities alone. This talk will present data from one free generalist platform that explore its global user base and examine what that means for the future.",IA y datos académicos: ¿comunidades de nicho o una oportunidad global? (EN),"La disponibilidad de datos compartidos y resultados de investigación no tradicionales ha aumentado dramáticamente en los últimos 10 años y está creciendo a un ritmo exponencial. Las plataformas de repositorios generalistas han madurado hasta convertirse en ubicaciones bien conocidas para compartir datos. Pero, ¿cómo es realmente el uso de estas plataformas abiertas? ¿Se están reutilizando los datos compartidos y por quién? ¿Se comparten los resultados de una manera que sea realmente útil? Las respuestas a estas preguntas ayudan a identificar si se puede contribuir al nuevo conocimiento académico producido por la IA a nivel mundial o únicamente en comunidades específicas. Esta charla presentará datos de una plataforma generalista gratuita que explora su base de usuarios global y examina lo que eso significa para el futuro.",English,,@markhahnel
Marley Kalt,she/her,"Facilitating Access to Social Media Data: Bridging the Gap between Social Media Data Providers, Researchers, and Users (EN)","Social media play a crucial role in contemporary society, and research using their data advances our understanding of human behavior, social systems, political sentiment, and more. In recent years, privacy and other concerns have caused social media data to become increasingly restricted and costly to access. The Social Media Archive at ICPSR (SOMAR) is dedicated to improving access to social media data and research through building partnerships with social media platforms. This presentation will spotlight our integration of the Meta Content Library API into SOMAR’s virtual data enclave, as a case study for using new technologies to increase the usability and interoperability of social media research data.","Facilitar el acceso a los datos de las redes sociales: cerrar la brecha entre los proveedores de datos de las redes sociales, los investigadores y los usuarios (EN)","Las redes sociales desempeñan un papel crucial en la sociedad contemporánea, y la investigación que utiliza sus datos mejora nuestra comprensión del comportamiento humano, los sistemas sociales, el sentimiento político y más. En los últimos años, la privacidad y otras preocupaciones han hecho que el acceso a los datos de las redes sociales sea cada vez más restringido y costoso. El Archivo de Redes Sociales del ICPSR (SOMAR) se dedica a mejorar el acceso a los datos y la investigación de las redes sociales mediante la creación de asociaciones con plataformas de redes sociales. Esta presentación destacará nuestra integración de la API de la biblioteca de metacontenido en el enclave de datos virtuales de SOMAR, como un estudio de caso para el uso de nuevas tecnologías para aumentar la usabilidad y la interoperabilidad de los datos de investigación de las redes sociales.",English,https://github.com/marleykalt,
Michael Diedrick,he/him,No single-file data dump that's platform agnostic? Many problems! (EN),"I couldn't find a standard to export a hierarchical relational database into a single file (or file system) that preserved relationships and hierarchies but also didn't force IDs or other ephemeral data, so I did the worst thing possible: I created my own standard. Here's how one bad decision led to a series of bad decisions, but also led to a single-file, platform-agnostic, relationship- and hierarchy-preserving data dump. (Also, let's find a better system!)",¿No hay ningún volcado de datos de un solo archivo que sea independiente de la plataforma? ¡Muchos problemas! (EN),"No pude encontrar un estándar para exportar una base de datos relacional jerárquica a un solo archivo (o sistema de archivos) que preservara las relaciones y jerarquías pero que además no forzara las identificaciones u otros datos efímeros, así que hice lo peor posible: creé mi propio estándar. Así es como una mala decisión condujo a una serie de malas decisiones, pero también condujo a un volcado de datos de un solo archivo, independiente de la plataforma y que preserva las relaciones y la jerarquía. (¡Además, busquemos un sistema mejor!)",English,@diedrick,@diedrick@mas.to
Michelli Pereira da Costa,,The Opening of Research Data and the International Division of Scientific Labor (ES),"Contextualize the proposals of the international movement to promote open science, particularly the opening of research data. Problemize the inequalities of access and recognition within scientific structures and the contradictory dynamics evident in the relationships between the centers and peripheries of science. Present the results of research analyzing the international division of scientific labor into operational and theoretical activities, and how these divisions reinforce colonization in scientific discourse.",La apertura de los datos de investigación y la división internacional del trabajo científico (ES),"Contextualiza las propuestas del movimiento internacional para promover la ciencia abierta, en particular, la apertura de datos de investigación. Problematiza las desigualdades de acceso y reconocimiento a las estructuras científicas y las dinámicas de contradicción evidenciadas en las relaciones entre los centros y periferias de la ciencia. Presenta los resultados de una investigación que analiza la división internacional del trabajo científico en actividades operativas y teóricas y cómo dichas divisiones refuerzan la colonización en las discusiones científicas.",Español,https://github.com/michellicosta,
Miguel Alor,,Datasketch+CKAN: communicating open data in a simple and friendly way (ES),"There are many champions of open government and transparency who have complied with publishing open data on portals, but who feel frustrated or dissatisfied because they have not achieved a greater impact on citizens since they do not understand how to use open data, ultimately creating a greater digital divide, limiting the ability of citizens to access and benefit from information. Our solution is the combination of two technologies based on free software: CKAN and Datasketch. CKAN is a free software data management system that allows the publication, exchange and search of data, widely used globally by governments such as Australia, Canada and the United States. Datasketch is a software that allows the visualization of data in an attractive design for citizens, customization according to the graphic line of each government and the export of data in multiple formats. Through innovative methodologies such as design thinking, we seek to understand the needs and pains of users of open data platforms from the government and civil society. Furthermore, building our solution on a digital public good such as CKAN allows it to adapt to the future due to the importance of open source. That is why our solution not only seeks to benefit the government, helping them comply with the general law of transparency and their open government agenda, but also citizens in general, allowing them to have actionable information to work on social issues, communicate them and to influence the public and political agenda, we want to frame the case of success in the work that was done with these technologies for Mexico City.",Datasketch+CKAN: comunicando datos abiertos de manera simple y amigable (ES),"Hay muchos champions de gobierno abierto y transparencia que han cumplido con publicar datos abiertos en portales, pero que se sienten frustrados o insatisfechos porque no han logrado un impacto mayor en la ciudadanía, ya que estos no entienden cómo utilizar datos abiertos, creando al final una brecha digital mayor, limitando la capacidad de los ciudadanos para acceder a la información y beneficiarse de ella. Nuestra solución es la combinación de dos tecnologías basadas en software libre: CKAN y Datasketch. CKAN es un sistema de administración de datos de software libre que permite la publicación, el intercambio y búsqueda de datos, muy usada a nivel global por gobiernos como el de Australia, Canadá y Estados Unidos. Datasketch es un software que permite la visualización de datos en un diseño atractivo para la ciudadanía, la personalización de acuerdo a la línea gráfica de cada gobierno y la exportación de datos en múltiples formatos A través de metodologías innovadoras como el pensamiento de diseño, buscamos entender las necesidades y dolores de los usuarios de las plataformas de datos abiertos desde el gobierno y la sociedad civil. Además, construir nuestra solución sobre un bien público digital como lo es CKAN permite que se adapte al futuro por la importancia del código abierto. Es por ello que nuestra solución no solo busca beneficiar al gobierno, ayudándolos en el cumplimiento de la ley general de transparencia y su agenda de gobierno abierto, si no también a la ciudadanía en general, permitiéndole tener información accionable para trabajar temas sociales, comunicarlos e incidir en la agenda pública y política, queremos enmarcar el caso de éxito en el trabajo que se hizo con estas tecnologías para la Ciudad de México.",Combinación/Combination,,
Natalia Debandi,,Data production and monitoring of international migration in terms of human rights (ES),"The objective is to problematize the production and use of data for the monitoring of international migrations based on a study carried out in Argentina.
The talk is organized into three axes: (1) analysis of the difficulties of administrative records to know the situation and access to rights of the migrant population. (2) presentation of the National Migrant Survey, a collective project that proposes a primary data production methodology from a human rights approach and (3) presentation of preliminary ideas on the use of artificial intelligence techniques, such as natural language processing, for the identification of situations of discrimination and xenophobia.
The analysis of data production is proposed, in terms of governance, as a witness case to think about the production and use of data for the advancement of rights of groups in situations of structural disadvantage.",Producción de datos y monitoreo de la migración internacional en clave de derechos humanos (ES),"El objetivo es problematizar la producción y uso de datos para el monitoreo de las migraciones internacionales a partir de un estudio realizado en Argentina. 
La charla se organiza en tres ejes: (1) análisis de las dificultades de los registros administrativos para conocer la situación y acceso a derechos de la población migrante. (2) presentación de la Encuesta Nacional Migrante, un proyecto colectivo que propone una metodología de producción de datos primarios desde un enfoque de derechos humanos y (3) presentación de ideas preliminares sobre el uso de técnicas de inteligencia artificia, como el procesamiento de lenguaje natural, para la identificación de situaciones de discriminación y xenofobia.
Se propone el análisis de la producción de datos, en clave de goberrnanza, como un caso testigo para pensar la producción y uso de datos para el avance en derechos de grupos en situación de desventaja estructural.",Español,https://github.com/natdebandi,https://twitter.com/natdebandi
Nelly Sélem Mojica,,Computational Biology on Wikipedia in Spanish (ES),"Bioinformatics articles in the Spanish version of Wikipedia are found in fewer numbers and with less content compared to their English counterpart. Over the last four years, we have collaborated closely with the Wikipedia community of interest of the Society for Computational Biology, achieving the implementation of an award dedicated to Latin American students. In this talk, we will share the narrative of our editathons and the ongoing efforts aimed at improving the Computational Biology category in Spanish.",Biología Computacional en la Wikipedia en Español (ES),"Los artículos de bioinformática en la versión en español de Wikipedia se encuentran en menor número y con menos contenido en comparación con su contraparte en inglés. A lo largo de los últimos cuatro años, hemos colaborado estrechamente con la comunidad de interés Wikipedia de la Sociedad de Biología Computacional, logrando la implementación de un premio dedicado a estudiantes latinoamericanos. En esta charla, compartiremos la narrativa de nuestros editatones y los esfuerzos continuos dirigidos a mejorar la categoría de Biología Computacional en español.",Español,nselem,nselem35
Nick Doiron,he/him,A Bite of Quinoa Genomics Data (EN),"To protect our food from the climate crisis, farmers might grow quinoa in new locations and new varieties. Opening the quinoa genome was part of this research. But what can someone do with a gigabyte of ACTGs? What approaches are there for tokenizing a genome with Large Language Models, and how do these compare to previous methods? This talk surveys AgroNT and scGPT (plus possible 2024 updates), and explains the specific tasks (gene expression and epigenetic marks) which they're evaluated on.",Un bocado de datos genómicos de la quinoa (EN),"Para proteger nuestros alimentos de la crisis climática, los agricultores podrían cultivar quinoa en nuevos lugares y nuevas variedades. Abrir el genoma de la quinoa fue parte de esta investigación. Pero ¿qué puede hacer alguien con un gigabyte de ACTGs? ¿Qué enfoques existen para tokenizar un genoma con modelos de lenguaje grandes y cómo se comparan con los métodos anteriores? Esta charla analiza AgroNT y scGPT (además de posibles actualizaciones para 2024) y explica las tareas específicas (expresión genética y marcas epigenéticas) en las que se evalúan.",English,mapmeld,@mapmeld@mapstodon.space
Patricio Del Boca,,Disorderly Transition: Preserving the Argentine Government's Open Data. (ES),"In November 2023, faced with a climate of uncertainty, Argentine civil society organized to support the government's open data portals due to fear that these portals would be deactivated. The first objective of the talk is to present the initiative (which we internally call Disorderly Transition), talk about the challenges that were presented, solutions that were developed and lessons learned. The second objective is to present the process that was carried out to document what can be done in scenarios where there are risks of public information being deleted and disappearing.",Transición Desordenada: Preservando los Datos Abiertos del Gobierno Argentino. (ES),"En Noviembre de 2023, ante un clima de incertidumbre, la sociedad civil Argentina se organizó para hacer un respaldo de los portales de datos abiertos del gobierno ante el temor de que dichos portales sean dados de baja. El primer objetivo de la charla es presentar la iniciativa (que llamamos internamente Transición Desordenada), hablar sobre los desafíos que se presentaron, soluciones que se desarrollaron y lecciones aprendidas. El segundo objetivo es presentar el proceso que se realizó para dejar documentado qué se puede hacer en escenarios donde hay riesgos de que la información pública se dé de baja y desaparezca.",Combinación/Combination,pdelboca,pdelboca
Raeedah Wahid,she/her,Holding the powerful and their data accountable (EN),"From the New York City Police Department’s crime data to company diversity reports – datasets cannot tell the whole story by themselves and often carry implicit bias. But when they are analyzed critically and fairly, they reveal trends and patterns powerful institutions prefer to keep hidden. In this session, I will walk through examples of stories I’ve worked on for Bloomberg News and how we contextualized data coming from political and corporate entities and used it with additional reporting and visualization to strengthen our analysis.",Responsabilizar a los poderosos y sus datos (EN),"Desde los datos sobre delitos del Departamento de Policía de la ciudad de Nueva York hasta los informes sobre diversidad de las empresas, los conjuntos de datos no pueden contar la historia completa por sí solos y, a menudo, conllevan sesgos implícitos. Pero cuando se analizan de manera crítica y justa, revelan tendencias y patrones que las instituciones poderosas prefieren mantener ocultos. En esta sesión, analizaré ejemplos de historias en las que he trabajado para Bloomberg News y cómo contextualizamos datos provenientes de entidades políticas y corporativas y los usamos con informes y visualizaciones adicionales para fortalecer nuestro análisis.",English,,@raeedahwahid
Rahul Bhargava,he/him/his,Create Data Representation for Social Justice Movements (EN),"In the evolving landscape of data representation, where quantitative data has transitioned from specialized domains to integral components of democratic governance and community decision-making, a critical misalignment persists between current data visualization practices and the transformative contexts in which data is now utilized. This disconnect perpetuates personal, community-level, and societal harms within our ""datafied"" society. We need a rethinking of the toolbox for data representation, challenging the dominance of visual, computationally encoded norms rooted in sciences and statistics. Drawing inspiration from participatory action research and epistemological pluralism, we argue for an expanded approach encompassing experiential, presentational, and practical ways of representing data. Three compelling case studies from Mexico City, Chicago, and Los Angeles exemplify an expanded toolbox through creative data representation in social justice movements. To mitigate the perpetuation of harms associated with entrenched data practices, we can look to the arts for a broader set of approaches that foster community empowerment, efficacy, and engagement in a datafied society.",Crear representación de datos para movimientos de justicia social (EN),"En el panorama cambiante de la representación de datos, donde los datos cuantitativos han pasado de dominios especializados a componentes integrales de la gobernanza democrática y la toma de decisiones comunitarias, persiste una desalineación crítica entre las prácticas actuales de visualización de datos y los contextos transformadores en los que ahora se utilizan los datos. Esta desconexión perpetúa los daños personales, comunitarios y sociales dentro de nuestra sociedad ""dataficada"". Necesitamos repensar la caja de herramientas para la representación de datos, desafiando el dominio de las normas visuales codificadas computacionalmente arraigadas en las ciencias y las estadísticas. Inspirándonos en la investigación acción participativa y el pluralismo epistemológico, abogamos por un enfoque ampliado que abarque formas experienciales, presentacionales y prácticas de representar datos. Tres estudios de caso convincentes de la Ciudad de México, Chicago y Los Ángeles ejemplifican una caja de herramientas ampliada a través de la representación creativa de datos en los movimientos por la justicia social. Para mitigar la perpetuación de los daños asociados con las prácticas de datos arraigadas, podemos recurrir a las artes en busca de un conjunto más amplio de enfoques que fomenten el empoderamiento, la eficacia y la participación de la comunidad en una sociedad basada en datos.",Combinación/Combination,rahulbot,Twitter:@rahulbot / Mastodon: @rahulbot@vis.social
Renata Hirota,,Fires in the Amazon: investigating the effects of pollution on health (ES),"In this presentation, I will focus on the methodology and results of the ""Engolindo Fumaça (Swallowing Smoke)"" project, which linked health and satellite data to investigate the effects of pollution caused by fires in the Amazon on the health of the population. . The project was the winner of the King of Spain International Journalism Award in the Environment category and part of the team is in the process of updating the data for a scientific article.",Incendios en la Amazonia: investigando los efectos de la contaminación en la salud (ES),"En esta presentación, me centraré en la metodología y resultados del proyecto ""Engolindo Fumaça (Tragando Humo)"", que relacionó datos de salud y de satélite para investigar los efectos de la contaminación causada por los incendios en la Amazonía en la salud de la población. El proyecto fue ganador del Premio Internacional de Periodismo Rey de España en la categoría de Medio Ambiente y parte del equipo estamos en el proceso de actualización de los datos para un artículo científico.",Español,rmhirota,renata_mh
Ricardo Miron Torres,,Utilizing open source and data to combat mis and dis-information with digital public goods (EN-ES),"While digital technologies are essential parts of our lives and provide solutions to some of the world’s greatest challenges, we must urgently recognize, and help solve their downsides. This is particularly true regarding online information pollution, which has grown to be a cause of distrust and obfuscation. Digital public goods (DPGs), open-source software, open data, open AI models, open standards, and open content that help attain the SDGs, can provide scalable solutions that can be adapted to meet different context-specific needs concerning information pollution. As seen with prominent platforms like Mastodon and Signal, open-source solutions can provide promising and effective alternatives. Given their open-source nature, DPGs can be deployed and adopted quickly by different types of stakeholders, especially in advance of situations and within regions susceptible to information pollution.",Utilizando código y datos abiertos para combatir la desinformación con bienes públicos digitales/ Utilizing open source and data to combat mis and dis-information with digital public goods (EN-ES),"Si bien las tecnologías digitales son partes esenciales de nuestras vidas y brindan soluciones a algunos de los mayores desafíos del mundo, debemos reconocer urgentemente sus desventajas y ayudar a resolverlas. Esto es particularmente cierto en lo que respecta a la contaminación de la información en línea, que se ha convertido en una causa de desconfianza y confusión. Los bienes públicos digitales (DPG), el software de código abierto, los datos abiertos, los modelos abiertos de IA y el contenido abierto que ayudan a alcanzar los ODS pueden proporcionar soluciones escalables que se pueden adaptar para satisfacer diferentes necesidades específicas del contexto relacionadas con la  desinformación. Como se ve en plataformas destacadas como Mastodon y Signal, las soluciones de código abierto pueden ofrecer alternativas prometedoras y efectivas. Dada su naturaleza de código abierto, los DPG pueden ser implementados y adoptados rápidamente por diferentes tipos de partes interesadas, especialmente antes de situaciones y dentro de regiones susceptibles a la contaminación de la información.",Combinación/Combination,ricardomiron,ricardomiron_
Rocío Arias Puga and Isaías Morales López,,Sisdai and Gema: free software and open data tools of the Mexican government (ES),"In this talk we want to talk to you about Sisdai and Gema. Sisdai is a design and accessibility system for research; a set of connected patterns and shared practices, coherently organized to serve the purposes of a digital product. This system complies with the Accessibility Guidelines for Web Content 2.1 at conformity level “A” and makes free software components available to people that privilege the Spanish language. Gema is a geospatial knowledge infrastructure that allows you to view layers of geographic information and generate maps using open data that can be downloaded in formats such as CSV, Geojson, Geopackage and PNG. Both projects are developed by the Mexican government to support the opening of data and free code and thus move towards technological sovereignty in the country.",Sisdai y Gema: herramientas de software libre y datos abiertos del gobierno de México (ES),"En esta charla te queremos hablar acerca del Sisdai y Gema. El Sisdai es un sistema de diseño y accesibilidad para la investigación; un conjunto de patrones conectados y prácticas compartidas, organizadas coherentemente para servir a los propósitos de un producto digital. Este sistema cumple con las Pautas de Accesibilidad para el Contenido Web 2.1 en el nivel de conformidad “A” y pone a disposición de las personas componentes de software libre que privilegian el idioma español. Gema es una infraestructura de conocimiento geoespacial que permite visualizar capas de información geográfica y generar mapas con el uso de datos abiertos que se pueden descargar en formatos como CSV, Geojson, Geopackage y PNG. Ambos proyectos son elaborados desde el gobierno de México para abonar a la apertura de datos y código libre y así caminar hacia una soberanía tecnológica en el país.",Español,"NA, IsaiasEntropia",
Sara Mannheimer,she/her,Implementing AI Responsibly: Perspectives from library and archives community for the data-making community (EN),"Artificial intelligence (AI) can be used in libraries and archives as a powerful tool for enhancing metadata, improving search and discovery, recommending resources, powering library chatbots, and more. However, AI systems also have the potential to cause social and ethical problems. AI may incorporate surveillance technologies that threaten user privacy, AI can provide misinformation that looks real, and AI reflects and amplifies the biases of our society due to biased training data. This talk outlines the activities of an IMLS-funded project that examines this tension between AI-based tools and services, open data practices, and protecting user communities. Our talk will: (1) describe the results of a literature review and a special issue that investigate how librarians and archivists consider (or do not consider) ethics when implementing AI projects and tools, (2) review preliminary results from participatory workshops with library and archives practitioners, administrators, and users, and (3) discuss forthcoming activities that will result in a decision-making toolkit for responsible AI software development and technology implementation. This toolkit will be in alignment with library and archives professional values, and it can act as a starting point for the broader data-making community.",Implementación de la IA de manera responsable: perspectivas de la comunidad de bibliotecas y archivos para la comunidad de creación de datos (EN),"La inteligencia artificial (IA) se puede utilizar en bibliotecas y archivos como una herramienta poderosa para mejorar los metadatos, mejorar la búsqueda y el descubrimiento, recomendar recursos, impulsar los chatbots de bibliotecas y más. Sin embargo, los sistemas de IA también tienen el potencial de causar problemas sociales y éticos. La IA puede incorporar tecnologías de vigilancia que amenazan la privacidad del usuario, puede proporcionar información errónea que parece real y refleja y amplifica los prejuicios de nuestra sociedad debido a datos de entrenamiento sesgados. Esta charla describe las actividades de un proyecto financiado por IMLS que examina esta tensión entre herramientas y servicios basados en IA, prácticas de datos abiertos y protección de comunidades de usuarios. Nuestra charla: (1) describirá los resultados de una revisión de la literatura y un número especial que investiga cómo los bibliotecarios y archiveros consideran (o no consideran) la ética al implementar proyectos y herramientas de IA, (2) revisarán los resultados preliminares de talleres participativos con bibliotecas. y profesionales, administradores y usuarios de archivos, y (3) discutir las próximas actividades que darán como resultado un conjunto de herramientas de toma de decisiones para el desarrollo responsable de software y la implementación de tecnología de IA. Este conjunto de herramientas estará alineado con los valores profesionales de bibliotecas y archivos, y puede actuar como punto de partida para la comunidad más amplia de creación de datos.",English,,
Sara Petti,She/her,Open Data Editor: The tormented journey of an app (EN),"Do you remember the Frictionless Data desktop application we presented last year in Buenos Aires? We are back with a name (Open Data Editor) and a beta version. In this talk we will share the journey that has taken us from the alpha, presented last year at csv,conf, to the beta released in October 2023, and the current work-in-progress v1. During this journey the application development progressed, and even got a promising generative AI integration, but we also made mistakes. We want to talk about what we got wrong, the shifts in our initial plans, the ideas that didn't pan out as expected and the subsequent reconsiderations we've made. Errors are normal, but unfortunately they are not very often openly discussed. We think there is a lot to learn from them. We will therefore share our ODE journey: the mistakes, and how we addressed them, hoping it will be useful for the community.",Open Data Editor: el atormentado viaje de una aplicación (EN),"¿Recuerdas la aplicación de escritorio Frictionless Data que presentamos el año pasado en Buenos Aires? Estamos de vuelta con un nombre (Open Data Editor) y una versión beta. En esta charla compartiremos el viaje que nos ha llevado desde la versión alfa, presentada el año pasado en csv,conf, hasta la versión beta lanzada en octubre de 2023 y el trabajo en progreso v1 actual. Durante este viaje, el desarrollo de la aplicación avanzó e incluso consiguió una prometedora integración de IA generativa, pero también cometimos errores. Queremos hablar sobre en qué nos equivocamos, los cambios en nuestros planes iniciales, las ideas que no resultaron como esperábamos y las reconsideraciones posteriores que hicimos. Los errores son normales, pero lamentablemente no suelen comentarse abiertamente. Creemos que hay mucho que aprender de ellos. Por lo tanto, compartiremos nuestro viaje ODE: los errores y cómo los abordamos, esperando que sea útil para la comunidad.",English,sapetti9,@Sape_BY
Virginia Brussa,,"Lots of AI narrative, but what are we teaching? (ES)","From Codatecs (UNR) we are interested in sharing a systematization of the syllabus/study plans of the careers that explicitly offer training in AI in Argentina and that have been created during the last 3 years. For the most part, the ethical approach is superficial and fragmented, there are no tours of the global or regional regulatory frameworks that allow contextualizing the challenges, minimal allusion to the development of AI in the public sector and even less an inclusive data science design. What data and AI competencies prevail? What type of job profiles are offered? What thematic vacancies prevail (open, inclusive, fair)? How to collaborate in the diversity and openness of these formal trainings? We propose innovative instances of internationalization of openness, multi-actor collaboration with these educational entities and designs of instances such as hybrid residences or collaborative code labs for the immersion of students and teachers in public, open, hard and soft scientific infrastructure competitions, etc. .","Mucha narrativa IA, pero qué estamos enseñando? (ES)","Desde el Codatecs (UNR) nos interesa compartir una sistematización sobre los syllabus/planes de estudio de las carreras que explícitamente ofrecen capacitaciones en IA en Argentina  y que han creadas durante estos últimos 3 años.  En su mayoría el planteamiento ético es superficial y fragmentado, no existen recorridos por los frameworks normativos globales o regionales que permitan contextualizar los desafíos, mínima alusión al desarrollo de IA en el sector público y menos aún un diseño de ciencia de datos inclusivo. ¿Qué competencias sobre datos e IA prevalecen? ¿Qué tipo de perfiles laborales se ofrecen? ¿Qué vacancias temáticas prevalecen (lo abierto, inclusivo, justo)? ¿Cómo colaborar en la diversidad y apertura de dichas capacitaciones formales? Proponemos instancias innovadoras de internacionalización de la apertura, de la colaboración multiactor con dichas entidades educativas y diseños de instancias como residencias híbridas o labs de código colaborativos para la inmersión de lxs estudiantes y docentes en competencias de infraestructuras públicas, abiertas, hard y soft científico etc.",Español,,
